Get Students 0,10,776,781,786,706,830,0.0,12.048192771084338,565.0061182228916
Get Students 10,10,298,298,329,256,338,0.0,29.585798816568047,1397.6978550295858
Get Students 20,10,208,211,222,185,225,0.0,44.44444444444444,2098.828125
Get Students 30,10,190,177,230,158,230,0.0,43.290043290043286,2044.1440070346318
Get Students 40,10,176,166,202,143,219,0.0,45.662100456621005,2156.4194492009133
Get Students 50,10,223,219,257,181,257,0.0,38.91050583657588,1837.7234314202335
Get Students 60,10,191,197,215,164,227,0.0,44.05286343612335,2082.0570622246696
Get Students 70,10,192,191,234,125,241,0.0,41.49377593360996,1959.3652748962656
Get Students 80,10,322,310,379,266,380,0.0,26.31578947368421,1242.418791118421
Get Students 90,10,193,189,219,158,220,0.0,45.45454545454545,2148.748224431818
TOTAL,100,277,215,380,125,830,0.0,26.79528403001072,1264.74787312433
